=>>averaged: min = : min = 0, max = 2983, maxp = (1260,1792), minmaxdif = 2983
orig: min = 21, max = 4094, maxp = (740,64), minmaxdif = 4073
orig32 thresholded: min = 0, max = 2050, maxp = (1261,1684), minmaxdif = 2050
orig32 medianBlur: min = 0, max = 2014, maxp = (1261,1683), minmaxdif = 2014
=>>averaged: min = : min = 0, max = 2983, maxp = (1260,1792), minmaxdif = 2983
orig: min = 21, max = 4094, maxp = (740,64), minmaxdif = 4073
orig32 thresholded: min = 0, max = 1909, maxp = (1255,1675), minmaxdif = 1909
orig32 medianBlur: min = 0, max = 1839, maxp = (1257,1671), minmaxdif = 1839
=>>averaged: min = : min = 0, max = 2983, maxp = (1260,1792), minmaxdif = 2983
orig: min = 21, max = 4094, maxp = (740,64), minmaxdif = 4073
orig32 thresholded: min = 0, max = 1958, maxp = (1268,1657), minmaxdif = 1958
orig32 medianBlur: min = 0, max = 1918, maxp = (1267,1656), minmaxdif = 1918
=>>averaged: min = : min = 0, max = 2983, maxp = (1260,1792), minmaxdif = 2983
orig: min = 22, max = 4094, maxp = (740,64), minmaxdif = 4072
orig32 thresholded: min = 0, max = 1933, maxp = (1279,1640), minmaxdif = 1933
orig32 medianBlur: min = 0, max = 1867, maxp = (1278,1640), minmaxdif = 1867
=>>averaged: min = : min = 0, max = 2983, maxp = (1260,1792), minmaxdif = 2983
orig: min = 19, max = 4094, maxp = (740,64), minmaxdif = 4075
orig32 thresholded: min = 0, max = 1917, maxp = (1295,1617), minmaxdif = 1917
orig32 medianBlur: min = 0, max = 1852, maxp = (1295,1617), minmaxdif = 1852
=>>averaged: min = : min = 0, max = 2983, maxp = (1260,1792), minmaxdif = 2983
orig: min = 21, max = 4094, maxp = (740,64), minmaxdif = 4073
orig32 thresholded: min = 0, max = 1948, maxp = (1270,1552), minmaxdif = 1948
orig32 medianBlur: min = 0, max = 1850, maxp = (1270,1552), minmaxdif = 1850
=>>averaged: min = : min = 0, max = 2983, maxp = (1260,1792), minmaxdif = 2983
orig: min = 22, max = 4094, maxp = (740,64), minmaxdif = 4072
orig32 thresholded: min = 0, max = 2276, maxp = (1260,1552), minmaxdif = 2276
orig32 medianBlur: min = 0, max = 2172, maxp = (1260,1552), minmaxdif = 2172
=>>averaged: min = : min = 0, max = 2983, maxp = (1260,1792), minmaxdif = 2983
orig: min = 20, max = 4094, maxp = (740,64), minmaxdif = 4074
orig32 thresholded: min = 0, max = 2119, maxp = (1253,1561), minmaxdif = 2119
orig32 medianBlur: min = 0, max = 2049, maxp = (1253,1562), minmaxdif = 2049
=>>averaged: min = : min = 0, max = 2983, maxp = (1260,1792), minmaxdif = 2983
orig: min = 21, max = 4094, maxp = (740,64), minmaxdif = 4073
orig32 thresholded: min = 0, max = 2008, maxp = (1210,1623), minmaxdif = 2008
orig32 medianBlur: min = 0, max = 1928, maxp = (1210,1623), minmaxdif = 1928
=>>averaged: min = : min = 0, max = 2983, maxp = (1260,1792), minmaxdif = 2983
orig: min = 21, max = 4094, maxp = (740,64), minmaxdif = 4073
orig32 thresholded: min = 0, max = 1872, maxp = (1179,1531), minmaxdif = 1872
